ID:0
CONST:1
(:2
):3
,:4
int:5
float:6
string:7
{:8
}:9
;:10
<-:11
scrie:12
citeste:13
+:14
-:15
*:16
/:17
%:18
while:19
!=:20
==:21
<:22
>:23
<=:24
>=:25
if:26
:27
":28
main:29
=:30
